Instance_no,Instance_name,No. of Nodes,No. of Edges,No. of Districts,tolerance,No. of Threads,Time_SP_Const,Time_to_print_path,Total_Time_SP,Objective_Function_SPC,Sol_Status_SP_Const,gap,Instance_no_df2,No. of Nodes_df2,No. of Edges_df2,No. of Threads_df2,Time_B&C_Const,Objective_Function_B&C,Sol_Status_B&C,gap_df2
3,CARP_F6_p_graph.dat,502,741,2,1.0,unlimited,14029.5,6.710000000000001,14036.21,374390.0,integer optimal solution,0.0,1,502,741,unlimited,44248.19,1926559.0,time limit exceeded,97.3
15,CARP_F6_p_graph.dat,502,741,10,1.0,unlimited,431.27,6.710000000000001,437.98,98232.0,integer optimal solution,0.0,2,502,741,unlimited,43264.73,297969.0,time limit exceeded,75.74
18,CARP_F6_p_graph.dat,502,741,20,1.0,unlimited,209.3,6.710000000000001,216.01,51374.0,"""integer optimal",0.01,3,502,741,unlimited,43333.2,158823.0,time limit exceeded,73.34
21,CARP_F6_p_graph.dat,502,741,30,1.0,unlimited,145.85,6.710000000000001,152.56,32780.0,integer optimal solution,0.0,4,502,741,unlimited,43467.02,128700.0,time limit exceeded,76.92
24,CARP_F6_p_graph.dat,502,741,40,1.0,unlimited,171.13,6.710000000000001,177.84,22840.0,"""integer optimal",0.01,5,502,741,unlimited,43273.25,120281.0,time limit exceeded,81.71
27,CARP_F6_p_graph.dat,502,741,50,1.0,unlimited,239.09,6.710000000000001,245.8,16514.0,integer optimal solution,0.0,6,502,741,unlimited,9807.5,16376.0,"""integer optimal",0.01
45,CARP_O12_g_graph.dat,761,852,20,1.0,unlimited,900.68,20.320000000000004,921.0,168233.0,"""integer optimal",0.01,7,761,852,unlimited,43285.6,1085965.0,time limit exceeded,87.54
48,CARP_O12_g_graph.dat,761,852,30,1.0,unlimited,2387.82,20.320000000000004,2408.1400000000003,116942.0,"""integer optimal",0.01,8,761,852,unlimited,43289.23,975721.0,time limit exceeded,89.96
51,CARP_O12_g_graph.dat,761,852,40,1.0,unlimited,2512.69,20.320000000000004,2533.01,85893.0,"""integer optimal",0.01,9,761,852,unlimited,43323.28,625384.0,time limit exceeded,87.96
54,CARP_O12_g_graph.dat,761,852,50,1.0,unlimited,1277.14,20.320000000000004,1297.46,65301.0,"""integer optimal",0.01,10,761,852,unlimited,43280.86,798625.0,time limit exceeded,92.7
